Record Id,Session Id,Acc Timestamp,AccX,AccY,AccZ,Gyro Timestamp,GyroX,GyroY,GyroZ
15,88,141746359051845,0.3696911036968231,8.352147102355957,5.4041900634765625,141746577065479,-0.3234531581401825,-0.39706242084503174,0.14416420459747314
15,88,141746377212730,-0.1902294009923935,8.631509780883789,5.882754325866699,141746586158923,-0.33536502718925476,-0.5129740834236145,0.19058994948863983
15,88,141746395373615,-0.6981059908866882,8.74756145477295,5.472385406494141,141746595238755,-0.3663664162158966,-0.7417431473731995,0.2672535479068756
15,88,141746413534500,-0.9726824164390564,8.809176445007324,4.66779899597168,141746604323715,-0.3995058834552765,-1.093143343925476,0.37308594584465027
15,88,141746431733901,-0.9768698215484619,8.82233715057373,4.2825541496276855,141746613406782,-0.4260784983634949,-1.494939923286438,0.49877145886421204
15,88,141746449894785,-0.5964110493659973,8.820542335510254,4.235894203186035,141746622488018,-0.4720461070537567,-1.8628336191177368,0.6233879923820496
15,88,141746468055670,-0.1740778535604477,8.752346992492676,4.470390796661377,141746631579814,-0.5490151643753052,-2.1821634769439697,0.7267768979072571
15,88,141746486232060,-0.0323031060397625,8.785846710205078,4.941776752471924,141746640666665,-0.6485861539840698,-2.4022276401519775,0.7944302558898926
15,88,141746504392945,0.13938191533088684,8.535198211669922,3.573082447052002,141746649735328,-0.7828238010406494,-2.5946500301361084,0.826195240020752
15,88,141746522553830,-0.2787638306617737,8.446065902709961,3.191427230834961,141746658831579,-0.9703594446182251,-2.816241502761841,0.8752171993255615
15,88,141746540714715,0.019740786403417587,8.436494827270508,3.8673996925354004,141746667916600,-1.2182179689407349,-3.050661087036133,0.9524916410446167
15,88,141746558875600,0.28594231605529785,8.482556343078613,3.7399818897247314,141746677001559,-1.4569135904312134,-3.205362558364868,1.0047205686569214
15,88,141746577065479,0.08195417374372482,8.26241683959961,2.5980072021484375,141746686082916,-1.679421305656433,-3.13205885887146,1.0201449394226074
15,88,141746586158923,-0.16450655460357666,8.338388442993164,2.0650060176849365,141746695158660,-2.0386099815368652,-2.749504566192627,1.0936014652252197
15,88,141746595238755,-0.4576273262500763,8.433503150939941,1.3986048698425293,141746704245572,-2.249664068222046,-2.0138700008392334,1.0705413818359375
15,88,141746604323715,-0.5904290080070496,8.346763610839844,0.6705885529518127,141746713333950,-1.9770653247833252,-1.074512004852295,0.8671231865882874
15,88,141746613406782,-0.5527420043945312,8.193622589111328,0.24287149310112,141746722418299,-1.1582005023956299,-0.1511891484260559,0.6160575747489929
15,88,141746622488018,-0.48574298620224,8.169096946716309,-0.06580262631177902,141746731498498,-0.07070764899253845,0.6649268269538879,0.44852781295776367
15,88,141746631579814,-0.2913261651992798,8.077570915222168,-0.12263216078281403,141746740585715,0.9844093322753906,1.3057245016098022,0.3700316250324249
15,88,141746640666665,0.04426721855998039,7.820342540740967,0.3164508044719696,141746749657612,1.9837849140167236,1.5931365489959717,0.2814561724662781
15,88,141746649735328,0.4618147611618042,7.590033531188965,0.4504488706588745,141746758754413,2.8429667949676514,1.627650499343872,0.15577064454555511
15,88,141746658831579,0.7501499056816101,7.332805156707764,1.036690354347229,141746767839555,3.445127248764038,1.519832730293274,-0.005345070734620094
15,88,141746667916600,1.2281162738800049,7.2681989669799805,2.8636105060577393,141746776924332,3.9011380672454834,1.425454020500183,-0.20357084274291992
15,88,141746677001559,2.2169501781463623,7.047461032867432,6.518647193908691,141746786006911,4.237572193145752,1.3220651149749756,-0.35934147238731384
15,88,141746686082916,3.3996028900146484,6.836892604827881,11.082358360290527,141746795084241,4.44954252243042,1.15178644657135,-0.413555771112442
15,88,141746695158660,4.77248477935791,6.458826541900635,15.218352317810059,141746804168407,4.468020915985107,0.8349000811576843,-0.38759398460388184
15,88,141746704245572,6.952346324920654,7.633702278137207,20.539989471435547,141746813252389,4.214970111846924,0.3358231782913208,-0.3101668357849121
15,88,141746713333950,8.447860717773438,8.530412673950195,25.01337242126465,141746822342720,3.662900686264038,-0.29168814420700073,-0.2776382565498352
15,88,141746722418299,8.504091262817383,9.116056442260742,27.766313552856445,141746831412787,2.887254476547241,-0.9239336848258972,-0.34987306594848633
15,88,141746731498498,7.904689788818359,8.74337387084961,27.888347625732422,141746840513310,1.9923369884490967,-1.4315626621246338,-0.4694499373435974
15,88,141746740585715,7.558926582336426,8.497511863708496,25.6241397857666,141746849593142,1.037249207496643,-1.58733332157135,-0.547182559967041
15,88,141746749657612,7.488936901092529,7.953144073486328,21.930219650268555,141746858678223,0.20586158335208893,-1.3878858089447021,-0.5778785347938538
15,88,141746758754413,6.503093719482422,7.511668682098389,17.76192283630371,141746867762878,-0.4911356568336487,-0.8521569967269897,-0.5393940210342407
15,88,141746767839555,5.592624664306641,7.141977310180664,14.017753601074219,141746876843015,-1.0867292881011963,-0.11468994617462158,-0.43127086758613586
15,88,141746776924332,4.479363918304443,7.068996429443359,10.604990005493164,141746885929562,-1.6963727474212646,0.3159700334072113,-0.3627012372016907
15,88,141746786006911,3.2787652015686035,6.610172748565674,6.8171515464782715,141746895010615,-2.292424440383911,0.5203045010566711,-0.3539963960647583
15,88,141746795084241,2.307877540588379,6.201598167419434,2.435295343399048,141746904082940,-2.852587938308716,0.6214026808738708,-0.32100969552993774
15,88,141746804168407,1.6348960399627686,5.504688262939453,-2.506481647491455,141746913177177,-3.386331558227539,0.6588181853294373,-0.29275718331336975
15,88,141746813252389,1.6289139986038208,5.251049518585205,-7.88913631439209,141746922261098,-3.931070566177368,0.671493649482727,-0.2765692472457886
